Designator,Footprint,Quantity,Value,LCSC Part #,,,,,,,,,
BAT,CONN_S2B-PH-K-S_JST,1,S2B-PH-K-SLFSN,,,,,,,,,,
C1,CAPC1608X90N,1,10uF,,,,,,,,,,
"C11, C26, C3, C34, C9",CAPCAF50P200X125X85-8,5,CKCL44X7R1H102M085AA,,,,,,,,,,
"C12, C13, C15, C24, C28, C5",YAG_CC0402_YAG,6,0.1uF,,,,,,,,,1x02 VERT PIN,4
"C14, C17, C18, C19, C21, C22, C27, C6, C7",CAP_CC0402KRX7R5BB105_YAG,9,1uF,,,,,,,,,1x03 VERT PIN,4
C16,YAG_CC0402_YAG,1,1nF,,,,,,,,,MicroB,4
C2,CAP_CC1206_YAG,1,100uF,,,,,,,,,1x02 VERT HDR,4
"C45, C46, C50, C51, C60, C61, C65, C66",CAPC2012X95N,8,10uF,,,,,,,,,1x01 VERT PIN,9
"C47, C48, C49, C58, C62",CAPC1608X90N,5,1uF,,,,,,,,,1x07 VERT HDR,4
C57,CAPC1608X90N,1,0.1uF,,,,,,,,,TERM BLOCK 2 POS,3
"C59, C63, C64",CAP_GRM18_MUR,3,2.2uF,,,,,,,,,TERM BLOCK 4 POS,1
C67,CAPC1608X90N,1,0.01uF,,,,,,,,,LTC3556,1
"D2, D3, D4, D5, D6, D7",DCK6_TEX,6,TPD4E1B06DCKR,,,,,,,,,3.3uH LPS4018,1
DC1,CC0402N_YAG,1,0.01uF,,,,,,,,,2.2uH LPS4018,1
"DC2, DC3",G-033_MUR,2,47pF,,,,,,,,,SI233DS-T1 FET,2
DD3,SOD882_STM,1,D_Small,,,,,,,,,TC7660C0A INV CRG PUMP,1
DD4,LED_LTST-C191KRKT_LTO,1,RED,,,,,,,,,LED BLUE 0805 150080BS75000,3
DD5,LED_LTST-C191KGKT_LTO,1,GREEN,,,,,,,,CAPS,10uF 1206,8
DF1,FUSE_F050-2,1,Fuse_Small,,,,,,,,,0.1uF 1206,9
DL2,IND_1005_TDK,1,L_Small,,,,,,,,,0.1uf 0402,2
"DR1, DR2",RC0402N_YAG,2,27,,,,,,,,,1uF 0402,11
"DR3, DR4",RC0402N_YAG,2,330,,,,,,,,,130pF 0402,5
"DR6, DR7",RC0402N_YAG,2,1K,,,,,,,,,10pF 0402,8
J1,AMPHENOL_68021-226HLF,1,Conn_02x13_Odd_Even,,,,,,,,,10uF 0805,12
"L1, L2, L4, L5",INDC2012X87N,4,3.3uH,,,,,,,,END,10uF 0402,18
"PC1, PC11, PC4, PC5, PC8, PC9",C1005X5R0J105M,6,1uF,,,,,,,,,300mA SS12D07-VG Slide Switch,1
PC10,C1608X5R0J225M,1,2.2uF,,,,,,,,,4.7uH LPS3015,1
"PC12, PC21, PC23",C1608X5R0J106M,3,10uF,,,,,,,,,,
PC13,GRM31CR60J107ME39L,1,100uF,,,,,,,,,,
PC14,LMK316BJ476ML-T,1,47uF,,,,,,,,,,
"PC15, PC20, PC22, PC24",04025A100KAT,4,10pF,,,,,,,,,,
"PC16, PC28, PC29",C1005X5R1C104K,3,0.1uF,,,,,,,,,,
PC17,04025A331KAT,1,330pF,,,,,,,,,,
PC18,04025A330KAT,1,33pF,,,,,,,,,,
"PC19, PC6, PC7",JMK212BJ226MG-T,3,22uF,,,,,,,,,,
PC2,GRM21BR61A106KE19,1,10uF,,,,,,,,,,
PC3,GRM21BR61A106KE19L,1,10uF,,,,,,,,,,
PD2,LED-0603,1,GREEN (CHRG),,,,,,,,,,
PD3,LED-0603,1,RED (FAULT),,,,,,,,,,
PL1,LPS4018-332MLC,1,3.3uH,,,,,,,,,,
"PL2, PL3",LPS4018-222MLC,2,2.2uH,,,,,,,,,,
"PL4, PL5",IND_LPS4018-472MRC,2,4.7uH,,,,,,,,,,
PQ1,SI2333DS,1,PMOS,,,,,,,,,,
"PR10, PR12, PR4",CRCW04020000Z0EDC,3,0,,,,,,,,,,
"PR13, PR18, PR23, PR26",CRCW040220R0FKED,4,20,,,,,,,,,,
PR14,CRCW040288K7FKED,1,88.7k,,,,,,,,,,
PR15,CRCW040216K9FKED,1,16.9K,,,,,,,,,,
PR16,CRCW04023K01FKED,1,3.01K,,,,,,,,,,
PR17,CRCW04022K00FKED,1,2K,,,,,,,,,,
PR19,CRCW040215K0FKED,1,15K,,,,,,,,,,
"PR2, PR29, PR30, PR31",CRCW04021R00JNED,4,1,,,,,,,,,,
PR20,CRCW0402324KFKED,1,324K,,,,,,,,,,
PR21,CRCW0402121KFKED,1,121K,,,,,,,,,,
PR22,CRCW0402105KFKED,1,105K,,,,,,,,,,
PR24,CRCW0402806KFKED,1,806K,,,,,,,,,,
PR25,CRCW0402649KFKED,1,649K,,,,,,,,,,
PR27,CRCW0402232KFKED,1,232K,,,,,,,,,,
PR28,CRCW0402464KFKED,1,464K,,,,,,,,,,
"PR3, PR9",CRCW0402100KFKED,2,100K,,,,,,,,,,
"PR34, PR35, PR80, PR81, PR82, PR83",CRCW04021K00JNED,6,10K,,,,,,,,,,
"PR5, PR7",CRCW04021K00JNED,2,1K,,,,,,,,,,
"PR6, PR8",CRCW04022K20FKED,2,2.2K,,,,,,,,,,
"R1, R2, R3, R4, R6",CAY16_BRN,5,2.2K,,,,,,,,,,
R5,RC0402N_YAG,1,1M,,,,,,,,,,
SB1,PTS645S_SMTR92_CNK,1,USER,,,,,,,,,,
SB2,PTS645S_SMTR92_CNK,1,RESET,,,,,,,,,,
"SC28, SC29, SC30, SC31, SC32, SC33, SC34, SC49, SC50, SC51, SC53, SC57, SC58, SC61",CAPC1608X90,14,100nF,,,,,,,,,,
SC40,YAG_CC0402_YAG,1,[N/A],,,,,,,,,,
SC41,YAG_CC0402_YAG,1,100nF,,,,,,,,,,
SC42,CAPMP3216X166,1,4.7uF,,,,,,,,,,
"SC52, SC54",CAPC1608X90,2,4.7uF_X54_0603,,,,,,,,,,
"SC56, SC59",CAPMP3216X166,2,1uF,,,,,,,,,,
SC60,CAPC1608X90,1,1uF_X5R_0603,,,,,,,,,,
SCN14,MOLEX_47589-1001,1,USB_B_Micro,,,,,,,,,,
SD10,SOT65P210X110-5N,1,ESDALC6V1W5,,,,,,,,,,
SD6,DIODE_ESDALC6V1-1U2,1,ESDALC6V1_1U2,,,,,,,,,,
SL3,FB0603,1,FerriteBead_Small,,,,,,,,,,
SLD7,LED-0603,1,Red,,,,,,,,,,
SLD8,LED-0603,1,Green,,,,,,,,,,
"SR38, SR52",RESC1607X60N,2,10K,,,,,,,,,,
"SR41, SR43",RESC1607X60N,2,330,,,,,,,,,,
SR42,RESC1607X60N,1,220K,,,,,,,,,,
SR44,RESC1607X60N,1,100,,,,,,,,,,
SR45,RESC1608X55N,1,620,,,,,,,,,,
SR48,RESC1607X60N,1,22K,,,,,,,,,,
"SR49, SR51",RESC1608X55,2,47K,,,,,,,,,,
"SR54, SR55",RESC1607X60N,2,10K (DNP),,,,,,,,,,
ST2,SOT-23,1,9013,,,,,,,,,,
SU12,SOT95P280X145-5N,1,STMPS2151STR,,,,,,,,,,
SU13,SOT-23-6,1,USBLC6-2SC6,,,,,,,,,,
SWD1,CON14_2X7_DUK_FTSH_SAI,1,FTSH-107-01-L-DV-K,,,,,,,,,,
TP1,KEYSTONE_5000,1,RAW,,,,,,,,,,
TP2,KEYSTONE_5000,1,LDO3V3,,,,,,,,,,
TP4,KEYSTONE_5000,1,+3V3,,,,,,,,,,
TP5,KEYSTONE_5001,1,-5V,,,,,,,,,,
TP6,KEYSTONE_5001,1,+5V,,,,,,,,,,
TP7,KEYSTONE_5001,1,+2V5,,,,,,,,,,
TP8,KEYSTONE_5001,1,-2V5,,,,,,,,,,
U1,QFP64P50_1200X1200X120L60X22N,1,ADS1299CPAG,,,,,,,,,,
U2,LQFP144-20x20mm_STM,1,STM32L496ZGT6,,,,,,,,,,
U3,QFN-38_UFE_LIT,1,LTC3586EUFE-3-PBF,,,,,,,,,,
U4,QFN20_FT231XQ_FTD,1,FT231XQ-R,,,,,,,,,,
U6,SOT95P280X145-5N,1,TPS60403DBVT,,,,,,,,,,
U8,SOT95P280X145-5N,1,TPS72325DBVT,,,,,,,,,,
U9,SOT95P280X145-5N,1,TPS73225DBVT,,,,,,,,,,
,,202,,,,,,,,,,,
